nt-1000	Benyon
nt-1001	0
nt-1002	4
nt-1003	3
nt-1004	Ukraine
nt-1005	Louis Delmas, Derrick Williams
nt-1006	Antwerp
nt-1007	Andres Guillama
nt-1008	New Basket Brindisi
nt-1009	Langlang Princess
nt-1010	4
nt-1011	If It Means Losing You
nt-1012	CE Sabadell FC 1
nt-1013	Singapore cable car
nt-1014	LB
nt-1015	1910
nt-1016	Ross Jenkins
nt-1017	Japanese Communist Party (JCP)
nt-1018	DJ Ogee/O.Gee
nt-1019	1969, 1989
nt-1020	7
nt-1021	66,308
nt-1022	560,195
nt-1023	4th
nt-1024	17
nt-1025	Justin Rose, 2011
nt-1026	Parambikulam, Thunakkadavu, Peruvaaripallam, Sholayar Dam, Peringalkuthu Dam
nt-1027	4
nt-1028	Three Strangers, Devotion, The Verdict
nt-1029	116,000
nt-1030	4
nt-1031	10
nt-1032	DJ Got Us Fallin' in Love, Baby
nt-1033	Zoo Story
nt-1034	Pando
nt-1035	20
nt-1036	6
nt-1037	above
nt-1038	September 25 @ Reds, September 26 @ Reds, September 27 @ Reds
nt-1039	Aparna Popat
nt-1040	Jeff Gordon
nt-1041	5
nt-1042	Cuba, Jamaica, Mexico
nt-1043	6
nt-1044	6
nt-1045	Soviet Union (URS)
nt-1046	1983
nt-1047	Surendranath Banerjee
nt-1048	Chinese Odyssey 2002
nt-1049	No data available
nt-1050	4
nt-1051	4
nt-1052	8
nt-1053	Manuel José Soares, Quando chego a casa
nt-1054	18
nt-1055	1991/92
nt-1056	Peter Hirt
nt-1057	14
nt-1058	23
nt-1059	Dilasha GC
nt-1060	4
nt-1061	1972
nt-1062	Ironi Ashkelon
nt-1063	'be'
nt-1064	Jovan Bubonja
nt-1065	38
nt-1066	Gene Anderson, Swede Hanson, Johnny Weaver, Sonny Fargo, Gary Hart, Wahoo McDaniel
nt-1067	yes
nt-1068	12
nt-1069	2
nt-1070	Shenzhen
nt-1071	Tibbee Bridge
nt-1072	8
nt-1073	1
nt-1074	2
nt-1075	3, 3
nt-1076	0:19
nt-1077	1998
nt-1078	14 922 000
nt-1079	AT90S1200
nt-1080	5
nt-1081	52.17
nt-1082	Mohammed Essa
nt-1083	3
nt-1084	Gorizia
nt-1085	Ayrton Senna
nt-1086	4.10
nt-1087	8
nt-1088	Prevencor, Parapres
nt-1089	#25 Ole Miss
nt-1090	Otsuka Pharmaceuticals
nt-1091	Grande Fratello 1
nt-1092	0
nt-1093	Fiescheralp-Eggishorn
nt-1094	2011
nt-1095	36
nt-1096	Weightlifting
nt-1097	Ireland
nt-1098	R.C. Haas, Gordon Otto
nt-1099	2005
