nt-0	2004
nt-1	Bangkok, Thailand
nt-2	Wolfe Tones
nt-3	12,467
nt-4	Derby County
nt-5	5
nt-6	Varbergs GIF (D3)
nt-7	Lake Palas Tuzla
nt-8	32
nt-9	Siim Ennemuist, Andri Aganits
nt-10	4
nt-11	Bangkok, Thailand
nt-12	2
nt-13	1999-2000
nt-14	Kim Yu-na
nt-15	New Delhi, India
nt-16	58
nt-17	Abbott
nt-18	17
nt-19	3
nt-20	The Sound Of Trees, OK Alright A Huh O Yeah
nt-21	KM-45 Series
nt-22	Arataki ii, Toia
nt-23	Morocco, France, United States, Spain
nt-24	Sweden
nt-25	4
nt-26	Málaga CF
nt-27	20
nt-28	Windows
nt-29	1694
nt-30	4.03
nt-31	8
nt-32	Jiang Qing
nt-33	Draco
nt-34	Iryna Shpylova
nt-35	Marisela Moreno Montero
nt-36	Princeton
nt-37	4
nt-38	4
nt-39	8
nt-40	2
nt-41	2014
nt-42	459,640
nt-43	Pagham
nt-44	1
nt-45	Dhaasippen or Jothi Malar
nt-46	10
nt-47	5–1 Shane Carwin
nt-48	630
nt-49	2
nt-50	Indonesia
nt-51	4
nt-52	RC Toulonnais
nt-53	14
nt-54	Theodis
nt-55	1987
nt-56	504
nt-57	3
nt-58	10
nt-59	Surf's Up
nt-60	2
nt-61	36
nt-62	Vijayendra Prasad
nt-63	Yes
nt-64	22
nt-65	4
nt-66	The Name of the Game
nt-67	9
nt-68	Antelope
nt-69	1960
nt-70	1
nt-71	May
nt-72	0
nt-73	145
nt-74	Nigel Mansell, Alain Prost
nt-75	15
nt-76	7
nt-77	2
nt-78	1996
nt-79	7
nt-80	less
nt-81	Chevrolet
nt-82	3
nt-83	Tajik
nt-84	2005
nt-85	George Burley
nt-86	Serbian Progressive Party
nt-87	David Davie Shelby
nt-88	0
nt-89	5
nt-90	Stapleton
nt-91	5
nt-92	Jaafar Mohamed
nt-93	1
nt-94	Hardcore TV #21
nt-95	5,000 m, 10,000 m
nt-96	5
nt-97	Denmark Rifle 1889
nt-98	8
nt-99	9
nt-100	9
nt-101	Belgium, Hungary, Netherlands, Spain, Scotland, Czechoslovakia, Italy, Denmark
nt-102	Überlingen
nt-103	2:37.70
nt-104	Pete Doherty
nt-105	57
nt-106	Luke Summerfield, Tom Eaves, Jon Taylor, Darren Jones, Adam Reach, Ryan Woods, Curtis Main, Jermaine Grandison, Dave McAllister, Aaron Wildig, Asa Hall, Gozie Ugwu, Connor Goldson, Nicky Wroe, Tom Bradshaw
nt-107	Nicky English
nt-108	10
nt-109	119
nt-110	baroque
nt-111	33 years
nt-112	Abu al-Duhur Military Airbase
nt-113	$2.7 billion
nt-114	Hidalgo
nt-115	Iryna Herashchenko
nt-116	20
nt-117	1985
nt-118	Conservatives
nt-119	4
nt-120	South Korea
nt-121	Tensile Modulus
nt-122	2009
nt-123	Tikamgarh
nt-124	1
nt-125	Mittersill goods aerial tramway, Torre Sant Sebastia
nt-126	Western Michigan, North Dakota
nt-127	UE Lleida
nt-128	Usain Bolt
nt-129	2003
nt-130	ballet
nt-131	68,364
nt-132	47
nt-133	1
nt-134	South Africa SABS 164-2 (3 pin)
nt-135	5000
nt-136	24
nt-137	Zimbabwe
nt-138	France
nt-139	Men's 25 m rapid fire pistol
nt-140	Best actor: Drama
nt-141	18
nt-142	Ottawa Senators
nt-143	Villa Nueva
nt-144	11th
nt-145	6
nt-146	3
nt-147	5
nt-148	4,874
nt-149	No.774
nt-150	Eiði, Elduvík, Funningur
nt-151	Seville
nt-152	120GB HDD or 64GB SSD
nt-153	10
nt-154	Pan troglodytes, Nomascus leucogenys
nt-155	November 2009
nt-156	2
nt-157	Lake Van
nt-158	Mount Whitney
nt-159	10
nt-160	10
nt-161	5th
nt-162	3
nt-163	Vokhid Shodiev - 12
nt-164	3,108
nt-165	15
nt-166	3:02.57
nt-167	BL26
nt-168	1995
nt-169	Royal Belfast Academical Institution, Campbell College
nt-170	Waverley
nt-171	2
nt-172	1
nt-173	1996
nt-174	28
nt-175	Sam Snead
nt-176	1:20:00
nt-177	NaN
nt-178	Yukon
nt-179	C7, D7, E7, G7, A7, B7
nt-180	26 years
nt-181	Ethiopia
nt-182	13
nt-183	Diamond
nt-184	December
nt-185	3
nt-186	3
nt-187	Tom Kiley
nt-188	Gunbird Special Edition / Gunbird 1&2
nt-189	Brisbane, Australia
nt-190	James Lee Goddard, M.D.
nt-191	2
nt-192	4
nt-193	3
