nt-1100	China
nt-1101	2014-2015
nt-1102	Guam on April 1, 2007
nt-1103	3
nt-1104	2
nt-1105	Dallas–Fort Worth
nt-1106	7
nt-1107	17
nt-1108	Help Me
nt-1109	2006 AFC U-17 Championship
nt-1110	USA
nt-1111	Daniella Dominikovic
nt-1112	54
nt-1113	Convention on the Prevention and Punishment of the Crime of Genocide
nt-1114	Oregon Route 18 Business
nt-1115	8
nt-1116	10
nt-1117	Kilkenny
nt-1118	1972
nt-1119	Emperor Wen
nt-1120	\Perestroika\"
nt-1121	1
nt-1122	73
nt-1123	3
nt-1124	127
nt-1125	Rick Hampton
nt-1126	Automobili O.S.C.A.
nt-1127	Vitas
nt-1128	4
nt-1129	4
nt-1130	June 15
nt-1131	4
nt-1132	4
nt-1133	
nt-1134	7
nt-1135	Maynooth
nt-1136	Chantelle and Steve
nt-1137	+69.9
nt-1138	6
nt-1139	4
nt-1140	2
nt-1141	October 2, 1995
nt-1142	William McCreery
nt-1143	10
nt-1144	94.4
nt-1145	12
nt-1146	3
nt-1147	4
nt-1148	793
nt-1149	Joe Calzaghe, Sven Ottke
nt-1150	5
nt-1151	1861
nt-1152	43
nt-1153	Sachsenhausen
nt-1154	Everton, Manchester City, Burnley, Newcastle United, Sheffield United, Oldham Athletic, Cardiff City
nt-1155	9
nt-1156	Brooke's
nt-1157	yes
nt-1158	10
nt-1159	5
nt-1160	4
nt-1161	22
nt-1162	11
nt-1163	24
nt-1164	1435+
nt-1165	Camilo Villegas
nt-1166	Orleans Racing, Petty Enterprises, Powers Motorsports, R&J Racing, RDS Motorsports, Ultra Motorsports, Ware Racing Enterprises
nt-1167	Vienna
nt-1168	2004
nt-1169	South Korea
nt-1170	less
nt-1171	National Treasure: Book of Secrets, The Bucket List, Cloverfield, Rambo
nt-1172	20
nt-1173	Château de Baugé
nt-1174	Ed Psaltis
nt-1175	13
nt-1176	27
nt-1177	Film
nt-1178	3
nt-1179	1985
nt-1180	Thailand, Commonwealth realms
nt-1181	234
nt-1182	Yes
nt-1183	26
nt-1184	47
nt-1185	11
nt-1186	158.33 °F
nt-1187	3
nt-1188	5
nt-1189	Millionaire
nt-1190	Once TV XEIPN 11
nt-1191	1996
nt-1192	Håkan Isacson
nt-1193	\Shalom a Leck\"
nt-1194	66,623
nt-1195	50
nt-1196	8
nt-1197	Hard
nt-1198	1
nt-1199	3
