nt-1600	Preston North End
nt-1601	Jérôme Pineau
nt-1602	12
nt-1603	William J. Knight
nt-1604	Holy Moly
nt-1605	14
nt-1606	Pathanamthitta
nt-1607	3
nt-1608	Cincinnati
nt-1609	Eugène Bernain
nt-1610	Yes
nt-1611	Felix Loch
nt-1612	13
nt-1613	Fugitive Pieces
nt-1614	Ángel Rodríguez
nt-1615	12
nt-1616	Miracles
nt-1617	16
nt-1618	65
nt-1619	Sonny Bill Williams
nt-1620	Marvel's The Avengers
nt-1621	6
nt-1622	11
nt-1623	Der Liebeswalzer
nt-1624	Back
nt-1625	Seb Wilson
nt-1626	25
nt-1627	LSBG F157-081
nt-1628	12
nt-1629	Shahin Bushehr
nt-1630	2010, 2012
nt-1631	16
nt-1632	4173
nt-1633	7
nt-1634	3
nt-1635	5
nt-1636	Russia
nt-1637	2
nt-1638	Clay, Hard, Grass, Carpet: 7, 5, 3, 6 respectively. Maximum is Clay: 7.
nt-1639	2006
nt-1640	No
nt-1641	2014-2015
nt-1642	Vic Elford
nt-1643	4
nt-1644	Russia
nt-1645	Petrie Airfield
nt-1646	Detroit Lions
nt-1647	4
nt-1648	18
nt-1649	1978
nt-1650	\Try Not to Think\"
nt-1651	5
nt-1652	Australian Labor Party
nt-1653	Spain - Palma de Mallorca
nt-1654	2000
nt-1655	Jill Sterkel
nt-1656	United States
nt-1657	Lexington, Kentucky
nt-1658	5
nt-1659	5
nt-1660	0
nt-1661	11 years
nt-1662	1959-10-03
nt-1663	Dani Pedrosa
nt-1664	4
nt-1665	1988
nt-1666	12
nt-1667	1965
nt-1668	1600 m
nt-1669	3
nt-1670	2007
nt-1671	38
nt-1672	United Kingdom, Estonia
nt-1673	Gimme Shelter
nt-1674	Braşov
nt-1675	16
nt-1676	Shock Therapy (interlude), Horsemen, Mic-Nificent, 100 Bars, Chaos
nt-1677	10
nt-1678	9
nt-1679	Anthony Charteau
nt-1680	12
nt-1681	4
nt-1682	10
nt-1683	17770
nt-1684	Copris hispanus Linnaeus
nt-1685	8
nt-1686	Karen Andrew
nt-1687	week 5
nt-1688	847
nt-1689	Nikos Christodoulakis
nt-1690	Sven Kramer
nt-1691	Soané Falafala
nt-1692	Bradford City
nt-1693	2
nt-1694	16
nt-1695	Bulgaria
nt-1696	12
nt-1697	July 3
nt-1698	50000
nt-1699	Susan Sloan, Maria Paris, Rosanna Juncos, Adriana Pereira
