nt-1200	2
nt-1201	3
nt-1202	1994, 1995, 1996, 1998, 1999, 2000, 2001, 2002, 2003, 2006
nt-1203	The Dark Knight
nt-1204	3
nt-1205	Yes
nt-1206	6
nt-1207	1
nt-1208	Walsall Wood
nt-1209	Scott Burrell
nt-1210	Sweden, United States
nt-1211	Kentucky
nt-1212	5
nt-1213	1960
nt-1214	3
nt-1215	2
nt-1216	Kansas, 21
nt-1217	50
nt-1218	Spokane
nt-1219	1
nt-1220	Rory McIlroy
nt-1221	17
nt-1222	game #1
nt-1223	Oil pressure
nt-1224	When I Think About Jesus
nt-1225	2009–10
nt-1226	Honda Motor, SC Tottori, NTT West Kumamoto, Ehime FC, Tochigi SC
nt-1227	1957, 1958
nt-1228	Paul Nix
nt-1229	Vilija Sereikaite
nt-1230	Walsall Wood
nt-1231	Gerhard Berger
nt-1232	Spring Hill Corrections Facility
nt-1233	Sir Seretse Khama SADC Meda
nt-1234	China Conservatory of Music
nt-1235	2
nt-1236	Other
nt-1237	13
nt-1238	19
nt-1239	1926
nt-1240	Bayern Munich, Borussia Dortmund
nt-1241	Finland
nt-1242	Missouri University of Science and Technology
nt-1243	30
nt-1244	Tony Lazzeri
nt-1245	6
nt-1246	10
nt-1247	Theme Hospital
nt-1248	DePaul
nt-1249	Twente
nt-1250	6
nt-1251	WACA Ground, Stockland Stadium, Adelaide Oval, Penrith Football Stadium, Mt Smart Stadium, Topper Stadium, Endeavour Field, Bruce Stadium, Belmore Oval
nt-1252	1322
nt-1253	Yes
nt-1254	1988
nt-1255	5
nt-1256	5
nt-1257	7
nt-1258	Nebraska
nt-1259	7
nt-1260	2
nt-1261	Praat jy Afrikaans?
nt-1262	12
nt-1263	F. C. Owen
nt-1264	18.8
nt-1265	5–2
nt-1266	Perpetual Motion Machine, Autumn Beds, Satellite Skin
nt-1267	Cole Harbour, Millbrook
nt-1268	2005, 1993, 1991, 1988
nt-1269	41
nt-1270	1990
nt-1271	30 Mar, 31 Mar
nt-1272	Robin Hood: Prince of Thieves
nt-1273	Dan Clarke
nt-1274	3
nt-1275	49
nt-1276	1865
nt-1277	Voodoo Graphics, Voodoo Rush
nt-1278	19
nt-1279	Chelsea
nt-1280	2008
nt-1281	Houston
nt-1282	64
nt-1283	Argo Meresaar
nt-1284	2
nt-1285	34.0
nt-1286	2
nt-1287	3
nt-1288	74
nt-1289	Sophie Pascoe
nt-1290	6
nt-1291	Idaho Power Building
nt-1292	101,821
nt-1293	Switzerland (SUI)
nt-1294	Arnold Trail to Quebec
nt-1295	4
nt-1296	7:30 PM
nt-1297	36
nt-1298	5
nt-1299	7
