nt-800	20 July 2011
nt-801	56656
nt-802	6
nt-803	'Good Deeds and Dirty Rags'
nt-804	Japan
nt-805	World Championships
nt-806	2006 FIBA World Championship
nt-807	2002
nt-808	Hungary
nt-809	Challenge
nt-810	67
nt-811	17
nt-812	ACT Premlis Lithium ion capacitor (2000 F, 4.0 V) x2
nt-813	17
nt-814	Millwall
nt-815	10
nt-816	9
nt-817	-4
nt-818	Kevin Watson
nt-819	2005-06-10
nt-820	Karawal Nagar, Nagercoil, Mango
nt-821	12
nt-822	Trinidad and Tobago, Jamaica, Cuba, Martinique, Haiti
nt-823	Lance Russell
nt-824	4
nt-825	24
nt-826	283
nt-827	1981
nt-828	Antwerp, East Flanders, Hainaut, Flemish Brabant, West Flanders
nt-829	Austin Walker
nt-830	2
nt-831	Spain
nt-832	70
nt-833	Otho Venius
nt-834	John William McCormack
nt-835	12
nt-836	Maldives
nt-837	0.1162
nt-838	Ultimo Gladiador and Ultimo Vampiro
nt-839	Tingkhong
nt-840	Royal Bafokeng Stadium, Rustenburg, South Africa
nt-841	Alisa and Lysandra
nt-842	Don Randall
nt-843	Trisha
nt-844	Chris Benoit and Dean Malenko
nt-845	Peregrine Bertie
nt-846	1983/84, 1985/86, 1987/88
nt-847	2010
nt-848	Mystique
nt-849	10
nt-850	China
nt-851	215,725
nt-852	10
nt-853	33
nt-854	35
nt-855	Château de Brissac
nt-856	Yes
nt-857	2
nt-858	3
nt-859	1
nt-860	10
nt-861	Conservative Party
nt-862	7
nt-863	Conservatives
nt-864	4
nt-865	George W. Bush
nt-866	Tom Slater
nt-867	7
nt-868	Edward C. Eicher
nt-869	5
nt-870	3 seasons
nt-871	10
nt-872	4
nt-873	5
nt-874	6
nt-875	63
nt-876	6
nt-877	7
nt-878	2011-12, 2012-13
nt-879	John Mack
nt-880	M45 (伏羲星图Fuxixingtu)
nt-881	Ralf Schumacher
nt-882	Auckland Warriors
nt-883	5
nt-884	variety show
nt-885	4
nt-886	3
nt-887	1887
nt-888	Werder Bremen, Livorno
nt-889	Distributor EP
nt-890	4:19.84
nt-891	3
nt-892	22,395
nt-893	3
nt-894	La
nt-895	South Africa
nt-896	10
nt-897	Large Professor
nt-898	12
nt-899	2
