nt-900	22
nt-901	September 21, 2011 to January 25, 2012
nt-902	1996/97
nt-903	Selitë
nt-904	14
nt-905	Spain
nt-906	New Model Pocket Revolver
nt-907	1
nt-908	Cuba
nt-909	08/30/83, 02/03/84, 10/05/84, 04/12/85, 04/29/85, 06/17/85, 10/30/85, 11/26/85, 01/12/86, 08/08/89, 10/18/89, 12/02/90, 04/28/91, 06/05/91, 01/22/92, 03/24/92, 07/31/92, 09/12/92, 11/12/93, 10/22/92, 12/02/92, 01/13/93, 04/26/93, 04/08/93, 06/21/93, 04/09/94, 02/03/94, 03/04/94, 02/03/95, 09/09/94, 11/03/94, 03/02/95, 09/30/94, 09/07/95, 01/11/96, 11/12/95, 03/22/96, 05/19/96, 11/19/96, 04/04/97, 08/07/97, 12/04/98, 01/22/98, 04/17/98, 06/02/98, 10/29/98, 05/27/99, 05/19/00, 03/08/01, 08/10/01, 11/29/02, 12/05/01
nt-910	match against Alessandro Campagna was shorter
nt-911	42,634
nt-912	43
nt-913	5
nt-914	4
nt-915	Lord Finesse
nt-916	2002, 2003, 2004, 2012
nt-917	The Train
nt-918	2
nt-919	Kissing The Future of Love
nt-920	Bobby Wadkins
nt-921	25
nt-922	6
nt-923	PUP–Taguig Pep Squad
nt-924	4
nt-925	potatoes
nt-926	1957
nt-927	3
nt-928	Big Bang
nt-929	3
nt-930	1up.com
nt-931	Leah Poulos
nt-932	6
nt-933	1
nt-934	16
nt-935	2 strokes
nt-936	4
nt-937	Zimbabwe
nt-938	North County Complex
nt-939	Bernie
nt-940	8
nt-941	Martin Rennie
nt-942	365 t
nt-943	Away
nt-944	5
nt-945	3
nt-946	7
nt-947	5
nt-948	Limestone Road north
nt-949	5
nt-950	Charles Frederick
nt-951	397 ft
nt-952	less
nt-953	Russia
nt-954	6
nt-955	-2
nt-956	2004
nt-957	7
nt-958	5
nt-959	Title
nt-960	CM, CM
nt-961	ISO/IEC 12207
nt-962	12
nt-963	6
nt-964	2
nt-965	February 13, 2011
nt-966	perfect fifth
nt-967	16
nt-968	CD, 7\"
nt-969	Gutsy Frog
nt-970	Ethiopia, France
nt-971	2
nt-972	6
nt-973	Jain
nt-974	34 years
nt-975	1, 10, 11, 100, 101
nt-976	1980
nt-977	4
nt-978	Lau4 Siu2 Leung4
nt-979	1979
nt-980	Kamaal Dhamaal Malamaal
nt-981	Tarachand Jagashi Chheda
nt-982	Marit Bjørgen
nt-983	4510
nt-984	4
nt-985	Christopher Linke, Caio Bonfim, Trevor Barron, Rafał Augustyn, Byun Youngjun, Hassanine Sebei, Jared Tallent, Recep Çelik, Nazar Kovalenko, Gurmeet Singh, Babubhai Panucha, David Kimutai, Yerko Araya, Hédi Teraoui, Diego Flores, Juan Manuel Cano, Emerson Hernandez, Ronald Quispe
nt-986	Complete Series 9
nt-987	Peter Hirt
nt-988	Julian Knowle
nt-989	Charles Frederick
nt-990	0.72%
nt-991	Gostaresh Foolad
nt-992	United States
nt-993	South Africa
nt-994	1985
nt-995	Jóhann Haraldsson, Kristinn Magnússon
nt-996	3
nt-997	Luke Summerfield
nt-998	Jean-Philippe Ruggia
nt-999	Dan M. Russell Jr. Federal Bldg & U.S. Courthouse
