nt-1300	Politician
nt-1301	4
nt-1302	Scott Lost
nt-1303	evolt
nt-1304	2011
nt-1305	Let It All Be Sunshine
nt-1306	Ralf Woods, Ray Woods
nt-1307	Showdance
nt-1308	Lijiang
nt-1309	4
nt-1310	29
nt-1311	3
nt-1312	Barrie Aitchison
nt-1313	Sébastien Lareau
nt-1314	Arizona, Penn State, Western Michigan
nt-1315	2
nt-1316	2
nt-1317	2009
nt-1318	4
nt-1319	0
nt-1320	Geunchogo
nt-1321	5
nt-1322	at Los Angeles Rams
nt-1323	Tokyo, Japan
nt-1324	6
nt-1325	Granada
nt-1326	48,278
nt-1327	100
nt-1328	Black
nt-1329	no
nt-1330	13,547
nt-1331	Cathedral of Christ the King
nt-1332	San Tiburcio
nt-1333	145
nt-1334	20
nt-1335	1-0
nt-1336	Vanessa García, Arlene Semeco, Heysi Villarreal, Maríana Álvarado, Carolina Moreno, Isabella Tafur, Ximena Maria Vilár, Nikia Hillarie, Sharon Fajardo, Maria Álvarez, Alia Atkinson, Alexis Jordan, Sharntelle McLean, Jennifer Powell, Nishani Cicilson, Sade Daal, Dalia Tórrez
nt-1337	2
nt-1338	UT
nt-1339	Las Vegas
nt-1340	3
nt-1341	#2 Maryland
nt-1342	Parle Theka
nt-1343	Sir Seretse Khama SADC Meda
nt-1344	2
nt-1345	McCone
nt-1346	580
nt-1347	65
nt-1348	3
nt-1349	EW58
nt-1350	0
nt-1351	4
nt-1352	8
nt-1353	Conservatives
nt-1354	430
nt-1355	2
nt-1356	2
nt-1357	Resigned (hired by Leicester City)
nt-1358	73751
nt-1359	24
nt-1360	None
nt-1361	Jonas Brodin
nt-1362	11
nt-1363	11
nt-1364	1971
nt-1365	Wal-Mart Stores, Inc.
nt-1366	Great Britain
nt-1367	9
nt-1368	13.8
nt-1369	Robin Hood: Prince of Thieves, $390,493,908
nt-1370	82 April 13 @ Utah L 103–107
nt-1371	11
nt-1372	8
nt-1373	Mark Fowler
nt-1374	France
nt-1375	34
nt-1376	90
nt-1377	Marcus Popp
nt-1378	Folsom Field • Boulder, CO
nt-1379	Brindaavanam
nt-1380	Western and Southern Open
nt-1381	3
nt-1382	10
nt-1383	53.66
nt-1384	after
nt-1385	53:26
nt-1386	Kimi Räikkönen
nt-1387	Milwaukee
nt-1388	Germany
nt-1389	1999
nt-1390	7
nt-1391	5
nt-1392	Livingston
nt-1393	3ª
nt-1394	Temagami
nt-1395	17 April 2010
nt-1396	12599
nt-1397	Bubba Watson
nt-1398	yes
nt-1399	more
