nt-500	Ireland
nt-501	4
nt-502	3
nt-503	China
nt-504	39
nt-505	GKN Aquatrack
nt-506	16
nt-507	1 year, 5 months
nt-508	Jones Stadium
nt-509	Ford Focus RS WRC 07
nt-510	2, 2, 2
nt-511	Frank Mir, UFC 81
nt-512	0.227
nt-513	18
nt-514	4
nt-515	3
nt-516	Tokyo
nt-517	Neither
nt-518	5
nt-519	Lee Young-Sun
nt-520	43
nt-521	1, 2, 1, 1, 2, 2
nt-522	May 19, 2012
nt-523	No
nt-524	Jas Mangat
nt-525	Candlestick Park tornado
nt-526	3
nt-527	Akakios Kakiasvilis
nt-528	Guto Inocente, Lavar Johnson
nt-529	3
nt-530	Scott Speed, Justin Allgaier
nt-531	Antigono, tutore di Filippo, re di Macedonia, Il Giustino
nt-532	Wave Ruler
nt-533	7
nt-534	Ontario
nt-535	Transrapid SMT
nt-536	1
nt-537	8
nt-538	Redlegs
nt-539	4
nt-540	552
nt-541	9.341
nt-542	Inside
nt-543	Socialist Group, RPR Group, UDF Group
nt-544	2
nt-545	Jefferson
nt-546	5
nt-547	Matthew, Luke, John
nt-548	Downhill
nt-549	2
nt-550	B5
nt-551	2
nt-552	4
nt-553	4 March 2008
nt-554	Nesccap Electric double-layer capacitor
nt-555	2
nt-556	Houston Texans
nt-557	3
nt-558	2008
nt-559	Try Not to Think
nt-560	3/32
nt-561	99
nt-562	8
nt-563	1, 3, 4, 5, 6, 9, 10, 13, 14, 15, 16, 17
nt-564	1998
nt-565	1
nt-566	1/10",1.60"
nt-567	Sally Carroll
nt-568	Alexandre Gacon
nt-569	2
nt-570	17 years
nt-571	Ögii nuur
nt-572	Rod Kerr
nt-573	Dreams
nt-574	54
nt-575	Gostaresh Foolad
nt-576	Maggie Roswell
nt-577	16
nt-578	2008
nt-579	3
nt-580	Costa Rica
nt-581	1582
nt-582	Mittersill goods aerial tramway
nt-583	Changing Heights
nt-584	06/05/91
nt-585	John Campbell Mulford
nt-586	Medline
nt-587	8
nt-588	4810
nt-589	Belleville
nt-590	Brenda Fassie
nt-591	12
nt-592	Argentina, Canada, Cuba
nt-593	26
nt-594	1.4% (30 to 34 years)
nt-595	2
nt-596	5
nt-597	7
nt-598	7
nt-599	8
