nt-1400	US Open
nt-1401	9
nt-1402	Diane Savino
nt-1403	8
nt-1404	Eskimo
nt-1405	Santa Anita
nt-1406	6
nt-1407	3
nt-1408	Toronto-Dominion Centre
nt-1409	26,651
nt-1410	Georgia Dome, RCA Dome, Kingdome, Foxboro Stadium, Astrodome, The Meadowlands
nt-1411	12
nt-1412	SATA 6 Gbit/s
nt-1413	Horton Smith
nt-1414	10
nt-1415	Château d'Angers
nt-1416	3
nt-1417	Marathon
nt-1418	No
nt-1419	8
nt-1420	Raymond Lam
nt-1421	2004
nt-1422	8
nt-1423	4
nt-1424	Mario Rondón
nt-1425	2
nt-1426	12.800
nt-1427	NaN
nt-1428	Simona Armstrong
nt-1429	80
nt-1430	Kozhikode
nt-1431	Indonesia
nt-1432	YKK FC
nt-1433	Ernest Buttenshaw
nt-1434	3
nt-1435	New Democracy
nt-1436	5
nt-1437	more
nt-1438	Nottingham, England
nt-1439	Jan. 26
nt-1440	Amiga Active, Bazinama, Bazy Rayaneh, BioGamer Girl Magazine, Donya ye Bazi, EDGE, FUN! Online Games Magazine, Gamemunition, Newbez, Nintendo Force, Official Nintendo Magazine, Official PlayStation Magazine (Australia), PNM (Pure Nintendo), Retro, SKOAR!, Thirteen1, Xbox World
nt-1441	Melting Pot, The Banner Man
nt-1442	1
nt-1443	2001
nt-1444	Airbus A330 MRTT, Airbus A400M, Alenia C-27J Spartan, Antonov An-12, Antonov An-70, Antonov An-124 Ruslan, Antonov An-225 Mriya, AVIC Y-9, AVIC Y-20, Embraer KC-390, Lockheed C-141 Starlifter
nt-1445	Karine Ruby
nt-1446	1
nt-1447	0
nt-1448	17 September 2007
nt-1449	3
nt-1450	5
nt-1451	None
nt-1452	Payne Stewart, Bob Tway
nt-1453	Colombia
nt-1454	8
nt-1455	The Name of the Game
nt-1456	Newman/Haas Racing
nt-1457	4 years
nt-1458	Lyubomir Popov
nt-1459	Kaitlin Sandeno
nt-1460	Ed Weir
nt-1461	3
nt-1462	4
nt-1463	Russia, Ukraine
nt-1464	26, 22
nt-1465	4
nt-1466	KEYZ, KFGO, KFYR, KLXX, KNOX, KQLX, KTGO, WDAY
nt-1467	Chile
nt-1468	9-1-1909
nt-1469	4
nt-1470	13
nt-1471	2
nt-1472	Swan Street
nt-1473	Port San Juan Light (1846)
nt-1474	Czech Republic
nt-1475	Sweden
nt-1476	April 9
nt-1477	Golden Giant Mine
nt-1478	2011, 2012
nt-1479	Patrick J. Boland
nt-1480	TV Azteca
nt-1481	15 February 2005
nt-1482	8
nt-1483	KEN
nt-1484	Germany
nt-1485	Data East, Kemco
nt-1486	0.5
nt-1487	10
nt-1488	2
nt-1489	3
nt-1490	3
nt-1491	Valencia CC
nt-1492	3
nt-1493	15
nt-1494	3
nt-1495	Ingrid Berghmans
nt-1496	Pavithra
nt-1497	4
nt-1498	Cásese Quien Pueda
nt-1499	30,509
